Stock,Tested Zones (Blue),Target Zones (Pink),Trades,TGT pct
PAYTM.ns,4,5,9,55.56
POLICYBZR.ns,2,7,9,77.78
ADANIENSOL.ns,1,0,1,0.00
SJVN.ns,4,5,9,55.56
BAJAJHLDNG.ns,3,5,8,62.50
MAZDOCK.ns,3,9,12,75.00
LAURUSLABS.ns,9,2,11,18.18
ABB.ns,2,11,13,84.62
MOTHERSON.ns,3,7,10,70.00
CHOLAFIN.ns,6,7,13,53.85
IDEA.ns,5,4,9,44.44
TCS.ns,6,9,15,60.00
JINDALSTEL.ns,9,12,21,57.14
BERGEPAINT.ns,7,10,17,58.82
KPITTECH.ns,4,8,12,66.67
HCLTECH.ns,14,5,19,26.32
NAUKRI.ns,6,9,15,60.00
LTTS.ns,7,11,18,61.11
DELHIVERY.ns,2,2,4,50.00
MANKIND.ns,0,2,2,100.00
KALYANKJIL.ns,5,6,11,54.55
ICICIGI.ns,6,6,12,50.00
TECHM.ns,5,8,13,61.54
CGPOWER.ns,4,11,15,73.33
HAVELLS.ns,8,5,13,38.46
SUPREMEIND.ns,2,6,8,75.00
INFY.ns,7,8,15,53.33
NYKAA.ns,3,4,7,57.14
M&M.ns,5,6,11,54.55
WIPRO.ns,8,7,15,46.67
BPCL.ns,10,5,15,33.33
SIEMENS.ns,0,8,8,100.00
PERSISTENT.ns,2,9,11,81.82
BHARTIARTL.ns,5,5,10,50.00
DLF.ns,9,8,17,47.06
TATAMOTORS.ns,3,8,11,72.73
LTIM.ns,9,10,19,52.63
MAHABANK.ns,2,8,10,80.00
ZOMATO.ns,3,7,10,70.00
MPHASIS.ns,7,4,11,36.36
SBIN.ns,5,8,13,61.54
HDFCAMC.ns,11,7,18,38.89
DMART.ns,10,7,17,41.18
TRENT.ns,7,8,15,53.33
AUROPHARMA.ns,7,5,12,41.67
TATAELXSI.ns,7,8,15,53.33
PRESTIGE.ns,8,4,12,33.33
SHREECEM.ns,8,7,15,46.67
FORTIS.ns,5,5,10,50.00
BAJAJ-AUTO.ns,6,7,13,53.85
APOLLOTYRE.ns,6,6,12,50.00
LICI.ns,1,5,6,83.33
ITC.ns,3,10,13,76.92
CUMMINSIND.ns,4,14,18,77.78
TITAN.ns,6,8,14,57.14
PFC.ns,8,6,14,42.86
SBILIFE.ns,9,6,15,40.00
INDHOTEL.ns,4,6,10,60.00
APLAPOLLO.ns,5,9,14,64.29
HINDPETRO.ns,12,6,18,33.33
MARUTI.ns,6,6,12,50.00
HDFCBANK.ns,6,5,11,45.45
HINDALCO.ns,10,12,22,54.55
LICHSGFIN.ns,4,6,10,60.00
NTPC.ns,6,6,12,50.00
COFORGE.ns,6,5,11,45.45
BHEL.ns,6,12,18,66.67
TATAMTRDVR.ns,5,6,11,54.55
FEDERALBNK.ns,6,6,12,50.00
BAJFINANCE.ns,7,8,15,53.33
ASIANPAINT.ns,10,7,17,41.18
HDFCLIFE.ns,10,6,16,37.50
ABFRL.ns,4,9,13,69.23
DEEPAKNTR.ns,6,7,13,53.85
COLPAL.ns,2,7,9,77.78
SUNPHARMA.ns,8,7,15,46.67
SHRIRAMFIN.ns,5,8,13,61.54
BALKRISIND.ns,4,13,17,76.47
UNITDSPR.ns,1,0,1,0.00
POLYCAB.ns,5,4,9,44.44
GAIL.ns,8,5,13,38.46
TATATECH.ns,0,0,0,#DIV/0!
KOTAKBANK.ns,9,2,11,18.18
MAXHEALTH.ns,3,10,13,76.92
INDUSTOWER.ns,4,5,9,55.56
GLAND.ns,6,1,7,14.29
BEL.ns,6,8,14,57.14
RELIANCE.ns,6,8,14,57.14
IOC.ns,6,8,14,57.14
SUNTV.ns,7,3,10,30.00
NESTLEIND.ns,6,8,14,57.14
DABUR.ns,6,5,11,45.45
SBICARD.ns,6,4,10,40.00
IGL.ns,5,6,11,54.55
GRASIM.ns,6,9,15,60.00
POONAWALLA.ns,6,6,12,50.00
LT.ns,6,9,15,60.00
CONCOR.ns,4,5,9,55.56
ALKEM.ns,10,9,19,47.37
BRITANNIA.ns,5,6,11,54.55
ZYDUSLIFE.ns,6,10,16,62.50
GUJGASLTD.ns,6,1,7,14.29
AMBUJACEM.ns,2,8,10,80.00
PNB.ns,4,9,13,69.23
YESBANK.ns,5,7,12,58.33
INDIGO.ns,10,7,17,41.18
VEDL.ns,7,10,17,58.82
INDUSINDBK.ns,6,5,11,45.45
TATAPOWER.ns,3,7,10,70.00
DALBHARAT.ns,7,6,13,46.15
AXISBANK.ns,6,6,12,50.00
PIIND.ns,3,4,7,57.14
ICICIBANK.ns,4,7,11,63.64
BANKINDIA.ns,5,10,15,66.67
IDBI.ns,5,5,10,50.00
GODREJPROP.ns,7,8,15,53.33
TORNTPHARM.ns,6,4,10,40.00
BANKBARODA.ns,4,9,13,69.23
INDIANB.ns,3,10,13,76.92
SONACOMS.ns,3,3,6,50.00
BHARATFORG.ns,4,9,13,69.23
TATACOMM.ns,5,6,11,54.55
HINDUNILVR.ns,4,5,9,55.56
PIDILITIND.ns,8,10,18,55.56
APOLLOHOSP.ns,7,14,21,66.67
RECLTD.ns,7,4,11,36.36
JUBLFOOD.ns,3,8,11,72.73
DIXON.ns,2,5,7,71.43
IDFCFIRSTB.ns,6,2,8,25.00
PETRONET.ns,6,7,13,53.85
TATACHEM.ns,6,6,12,50.00
CANBK.ns,6,7,13,53.85
BAJAJFINSV.ns,9,5,14,35.71
HAL.ns,2,7,9,77.78
IRFC.ns,1,4,5,80.00
IRCTC.ns,5,6,11,54.55
OFSS.ns,6,5,11,45.45
M&MFIN.ns,6,9,15,60.00
PAGEIND.ns,7,7,14,50.00
TATACONSUM.ns,6,6,12,50.00
AUBANK.ns,8,6,14,42.86
ICICIPRULI.ns,9,7,16,43.75
JIOFIN.ns,0,0,0,#DIV/0!
ACC.ns,5,6,11,54.55
BDL.ns,3,8,11,72.73
TIINDIA.ns,3,3,6,50.00
BSE.ns,2,6,8,75.00
POWERGRID.ns,5,6,11,54.55
ATGL.ns,6,4,10,40.00
ZEEL.ns,6,3,9,33.33
LTF.ns,10,4,14,28.57
CIPLA.ns,7,7,14,50.00
LUPIN.ns,3,8,11,72.73
MRF.ns,5,6,11,54.55
EICHERMOT.ns,9,2,11,18.18
ESCORTS.ns,3,10,13,76.92
BANDHANBNK.ns,9,2,11,18.18
GODREJCP.ns,9,6,15,40.00
TVSMOTOR.ns,8,10,18,55.56
PATANJALI.ns,6,3,9,33.33
SRF.ns,10,10,20,50.00
ADANIGREEN.ns,2,7,9,77.78
JSWINFRA.ns,0,1,1,100.00
VOLTAS.ns,5,1,6,16.67
UPL.ns,10,3,13,23.08
SYNGENE.ns,7,3,10,30.00
ADANIPORTS.ns,7,10,17,58.82
LALPATHLAB.ns,8,6,14,42.86
MFSL.ns,8,9,17,52.94
TATASTEEL.ns,7,4,11,36.36
BOSCHLTD.ns,3,4,7,57.14
VBL.ns,3,9,12,75.00
OBEROIRLTY.ns,8,8,16,50.00
NHPC.ns,0,4,4,100.00
ASHOKLEY.ns,4,4,8,50.00
GMRINFRA.ns,4,10,14,71.43
ADANIENT.ns,6,11,17,64.71
ONGC.ns,4,6,10,60.00
MARICO.ns,6,7,13,53.85
TORNTPOWER.ns,4,6,10,60.00
LODHA.ns,4,2,6,33.33
ABCAPITAL.ns,4,7,11,63.64
JSWSTEEL.ns,7,5,12,41.67
UNIONBANK.ns,6,5,11,45.45
DRREDDY.ns,11,4,15,26.67
SAIL.ns,12,5,17,29.41
ADANIPOWER.ns,2,9,11,81.82
ASTRAL.ns,8,4,12,33.33
ULTRACEMCO.ns,9,5,14,35.71
RVNL.ns,1,4,5,80.00
IPCALAB.ns,5,6,11,54.55
BIOCON.ns,8,5,13,38.46
COALINDIA.ns,7,7,14,50.00
HEROMOTOCO.ns,6,9,15,60.00
OIL.ns,5,12,17,70.59
FACT.ns,6,2,8,25.00
JSWENERGY.ns,2,5,7,71.43
DIVISLAB.ns,7,7,14,50.00
SUZLON.ns,7,6,13,46.15
NMDC.ns,10,7,17,41.18
PEL.ns,8,6,14,42.86
