SYMBOL 1,Symbol
PAYTM,PAYTM.ns
POLICYBZR,POLICYBZR.ns
ADANIENSOL,ADANIENSOL.ns
SJVN,SJVN.ns
BAJAJHLDNG,BAJAJHLDNG.ns
MAZDOCK,MAZDOCK.ns
LAURUSLABS,LAURUSLABS.ns
ABB,ABB.ns
MOTHERSON,MOTHERSON.ns
CHOLAFIN,CHOLAFIN.ns
IDEA,IDEA.ns
TCS,TCS.ns
JINDALSTEL,JINDALSTEL.ns
BERGEPAINT,BERGEPAINT.ns
KPITTECH,KPITTECH.ns
HCLTECH,HCLTECH.ns
NAUKRI,NAUKRI.ns
LTTS,LTTS.ns
DELHIVERY,DELHIVERY.ns
MANKIND,MANKIND.ns
KALYANKJIL,KALYANKJIL.ns
ICICIGI,ICICIGI.ns
TECHM,TECHM.ns
CGPOWER,CGPOWER.ns
HAVELLS,HAVELLS.ns
SUPREMEIND,SUPREMEIND.ns
INFY,INFY.ns
NYKAA,NYKAA.ns
M&M,M&M.ns
WIPRO,WIPRO.ns
BPCL,BPCL.ns
SIEMENS,SIEMENS.ns
PERSISTENT,PERSISTENT.ns
BHARTIARTL,BHARTIARTL.ns
DLF,DLF.ns
TATAMOTORS,TATAMOTORS.ns
LTIM,LTIM.ns
MAHABANK,MAHABANK.ns
ZOMATO,ZOMATO.ns
MPHASIS,MPHASIS.ns
SBIN,SBIN.ns
HDFCAMC,HDFCAMC.ns
DMART,DMART.ns
TRENT,TRENT.ns
AUROPHARMA,AUROPHARMA.ns
TATAELXSI,TATAELXSI.ns
PRESTIGE,PRESTIGE.ns
SHREECEM,SHREECEM.ns
FORTIS,FORTIS.ns
BAJAJ-AUTO,BAJAJ-AUTO.ns
APOLLOTYRE,APOLLOTYRE.ns
LICI,LICI.ns
ITC,ITC.ns
CUMMINSIND,CUMMINSIND.ns
TITAN,TITAN.ns
PFC,PFC.ns
SBILIFE,SBILIFE.ns
INDHOTEL,INDHOTEL.ns
APLAPOLLO,APLAPOLLO.ns
HINDPETRO,HINDPETRO.ns
MARUTI,MARUTI.ns
HDFCBANK,HDFCBANK.ns
HINDALCO,HINDALCO.ns
LICHSGFIN,LICHSGFIN.ns
NTPC,NTPC.ns
COFORGE,COFORGE.ns
BHEL,BHEL.ns
TATAMTRDVR,TATAMTRDVR.ns
FEDERALBNK,FEDERALBNK.ns
BAJFINANCE,BAJFINANCE.ns
ASIANPAINT,ASIANPAINT.ns
HDFCLIFE,HDFCLIFE.ns
ABFRL,ABFRL.ns
DEEPAKNTR,DEEPAKNTR.ns
COLPAL,COLPAL.ns
SUNPHARMA,SUNPHARMA.ns
SHRIRAMFIN,SHRIRAMFIN.ns
BALKRISIND,BALKRISIND.ns
UNITDSPR,UNITDSPR.ns
POLYCAB,POLYCAB.ns
GAIL,GAIL.ns
TATATECH,TATATECH.ns
KOTAKBANK,KOTAKBANK.ns
MAXHEALTH,MAXHEALTH.ns
INDUSTOWER,INDUSTOWER.ns
GLAND,GLAND.ns
BEL,BEL.ns
RELIANCE,RELIANCE.ns
IOC,IOC.ns
SUNTV,SUNTV.ns
NESTLEIND,NESTLEIND.ns
DABUR,DABUR.ns
SBICARD,SBICARD.ns
IGL,IGL.ns
GRASIM,GRASIM.ns
POONAWALLA,POONAWALLA.ns
LT,LT.ns
CONCOR,CONCOR.ns
ALKEM,ALKEM.ns
BRITANNIA,BRITANNIA.ns
ZYDUSLIFE,ZYDUSLIFE.ns
GUJGASLTD,GUJGASLTD.ns
AMBUJACEM,AMBUJACEM.ns
PNB,PNB.ns
YESBANK,YESBANK.ns
INDIGO,INDIGO.ns
VEDL,VEDL.ns
INDUSINDBK,INDUSINDBK.ns
TATAPOWER,TATAPOWER.ns
DALBHARAT,DALBHARAT.ns
AXISBANK,AXISBANK.ns
PIIND,PIIND.ns
ICICIBANK,ICICIBANK.ns
BANKINDIA,BANKINDIA.ns
IDBI,IDBI.ns
GODREJPROP,GODREJPROP.ns
TORNTPHARM,TORNTPHARM.ns
BANKBARODA,BANKBARODA.ns
INDIANB,INDIANB.ns
SONACOMS,SONACOMS.ns
BHARATFORG,BHARATFORG.ns
TATACOMM,TATACOMM.ns
HINDUNILVR,HINDUNILVR.ns
PIDILITIND,PIDILITIND.ns
APOLLOHOSP,APOLLOHOSP.ns
RECLTD,RECLTD.ns
JUBLFOOD,JUBLFOOD.ns
DIXON,DIXON.ns
IDFCFIRSTB,IDFCFIRSTB.ns
PETRONET,PETRONET.ns
TATACHEM,TATACHEM.ns
CANBK,CANBK.ns
BAJAJFINSV,BAJAJFINSV.ns
HAL,HAL.ns
IRFC,IRFC.ns
IRCTC,IRCTC.ns
OFSS,OFSS.ns
M&MFIN,M&MFIN.ns
PAGEIND,PAGEIND.ns
TATACONSUM,TATACONSUM.ns
AUBANK,AUBANK.ns
ICICIPRULI,ICICIPRULI.ns
JIOFIN,JIOFIN.ns
ACC,ACC.ns
BDL,BDL.ns
TIINDIA,TIINDIA.ns
BSE,BSE.ns
POWERGRID,POWERGRID.ns
ATGL,ATGL.ns
ZEEL,ZEEL.ns
LTF,LTF.ns
CIPLA,CIPLA.ns
LUPIN,LUPIN.ns
MRF,MRF.ns
EICHERMOT,EICHERMOT.ns
ESCORTS,ESCORTS.ns
BANDHANBNK,BANDHANBNK.ns
GODREJCP,GODREJCP.ns
TVSMOTOR,TVSMOTOR.ns
PATANJALI,PATANJALI.ns
SRF,SRF.ns
ADANIGREEN,ADANIGREEN.ns
JSWINFRA,JSWINFRA.ns
VOLTAS,VOLTAS.ns
UPL,UPL.ns
SYNGENE,SYNGENE.ns
ADANIPORTS,ADANIPORTS.ns
LALPATHLAB,LALPATHLAB.ns
MFSL,MFSL.ns
TATASTEEL,TATASTEEL.ns
BOSCHLTD,BOSCHLTD.ns
VBL,VBL.ns
OBEROIRLTY,OBEROIRLTY.ns
NHPC,NHPC.ns
ASHOKLEY,ASHOKLEY.ns
GMRINFRA,GMRINFRA.ns
ADANIENT,ADANIENT.ns
ONGC,ONGC.ns
MARICO,MARICO.ns
TORNTPOWER,TORNTPOWER.ns
LODHA,LODHA.ns
ABCAPITAL,ABCAPITAL.ns
JSWSTEEL,JSWSTEEL.ns
UNIONBANK,UNIONBANK.ns
DRREDDY,DRREDDY.ns
SAIL,SAIL.ns
ADANIPOWER,ADANIPOWER.ns
ASTRAL,ASTRAL.ns
ULTRACEMCO,ULTRACEMCO.ns
RVNL,RVNL.ns
IPCALAB,IPCALAB.ns
BIOCON,BIOCON.ns
COALINDIA,COALINDIA.ns
HEROMOTOCO,HEROMOTOCO.ns
OIL,OIL.ns
FACT,FACT.ns
JSWENERGY,JSWENERGY.ns
DIVISLAB,DIVISLAB.ns
SUZLON,SUZLON.ns
NMDC,NMDC.ns
PEL,PEL.ns
